Name;ART;HANDLUNG;REICHWEITE;DAUER;SEITE;Widerstand;Elementarschaden;Erläuterungen
Energieentzug (Karma);M;Komplex;B oder BF ;P;SG S. 240;ausg. WIL+MAG;;ENERGIEENTZUG (KARMA) (Große Kraft) Wie auf Seite 227 beschrieben, mit Reichweite Berührung und Körperlichem statt Geistigem Schaden.
Energietransfer;P;Komplex;B;P;CR S. 190;;;ENERGIETRANSFER Art: P Handlung: Komplex Reichweite: B Dauer: Permanent Mit dieser Kraft kann der Critter Energie (Essenz, Magie oder Kraftstufe), die er einem Wesen entzogen hat, durch einen Geisterpakt an ein anderes Wesen weitergeben. Wenn der Empfänger nicht selbst die Fähigkeit hat, diese spezielle Energie zu entziehen, kann er die Energie nicht verwenden, um andere Attribute außer dem entsprechenden Attribut (Essenz zu Essenz, Magie zu Magie) zu verstärken, beziehungsweise er kann sie gar nicht verwenden, wenn er das entsprechende Attribut nicht hat (z. B. können Metamenschen keine Kraftstufe von Geistern verwenden). Diese temporäre Verstärkung hält 24 Stunden lang an, bevor sie wieder verschwindet. Wenn das Subjekt nicht selbst die Fähigkeit hat, diese spezielle Energie zu entziehen, kann es davon auch süchtig werden (SR5, S. 416). Der Abhängigkeitswert ist gleich dem Wert der vom Critter übertragenen Energie.
Entropieaura;P;Auto;S;I;CR S. 190;;;ENTROPIEAURA Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Der Geist beschleunigt Verfall, Zeit und einfach die allgemeine Entropie in seiner Umgebung. Wenn der Geist sich auf der physischen Ebene bendet, verströmt er eine entropische Aura in einem Radius von [Magie] Metern um sich herum. Innerhalb dieser Aura altern unbelebte Objekte zehnmal so schnell wie üblich. Darüber hinaus sinkt die Anzahl an Einsen, die für einen Patzer nötig sind, um das (aufgerundete) Drittel des Magieattributs des Geistes.
Erdbeben;P;Komplex;Speziell;S;SG S. 227;;;"ERDBEBEN Art: P Handlung: Komplex Reichweite: Speziell Dauer: Sofort Mit dieser Kraft kann ein Geist Erdbeben von potenziell vernichtender Kraft auslösen. Das Beben trifft ein Gebiet im Umkreis von [Kraftstufe] Kilometern und dauert [Kraftstufe] Minuten lang an. Besonders verwundbar dafür sind Gebiete, die selten von Beben getroffen werden, weil deren Einwohner kaum erbebensicher bauen. Der Geist legt eine Probe auf Magie + Willenskraft ab, deren Erfolge die Stärke des Bebens bestimmen (siehe Tabelle Erdbeben auf S. 228). ? 1 Bewegungsmelder sind während der Wirkungsdauer des Erdbebens nutzlos; Schlafende wachen auf. 2 Gegenstände mit hohem Schwerpunkt fallen um; ungesicherte Türen und Fenster schwingen auf oder zu. 3 Möbel bewegen sich; Gegenstände fallen aus Regalen; Fahrer von Bodenfahrzeugen müssen Fahrzeugproben ablegen. 4 Gewöhnliche Gebäude werden beschädigt; Türen klemmen; Minenfelder explodieren. 5 Möbel stürzen um; Fenster zerbrechen; das gesamte Gebiet gilt als Schwieriges Gelände (SR5, S. 200). 6 Frei stehende Zäune, Mauern und Bäume hängen durch oder fallen um; Gasleitungen werden undicht. 7 Straßen werden unpassierbar; manche Gebäude stürzen ein. 8 Viele Gebäude stürzen ein; Spalten in Asphalt oder Erdboden öffnen sich."
Essenzentzug;P;Komplex;B;P;SR5 S. 396;aktive Bewegung;;"ESSENZENTZUG Art: P Handlung: Komplex Reichweite: B Dauer: Permanent Diese Kraft ermöglicht einem Critter, einem anderen Lebewesen permanent Essenz zu rauben und zu seiner eigenen hinzuzufügen. Essenzentzug wirkt nur gegen physische Lebewesen mit Bewusstsein (Charaktere oder nicht astrale Critter mit der Kraft Bewusstsein). Das Opfer muss über ein eigenes Bewusstsein verfügen – Versuche, weltliche Critter durch Geisterpakte oder Ähnliches mit Bewusstsein auszustatten, nur um sie als Essenzquelle zu benutzen, funktionieren nicht. Essenz kann nicht entzogen werden, wenn das Opfer sich aktiv körperlich wehrt. Es muss entweder freiwillig teilnehmen oder unterworfen (gefesselt, gelähmt, unter geistige Kontrolle gebracht usw.) werden. Der Essenztransfer kann nur über eine starke emotionale Verbindung erfolgen, egal ob dies Leidenschaft, Hass oder Entsetzen ist. Und die Emotion muss sich auf den Critter konzentrieren, der die Kraft einsetzt. Abstraktes Entsetzen reicht nicht; das Opfer muss speziell vor seinem Angreifer Todesangst haben, damit ihm Essenz entzogen werden kann. Bei einem Essenzentzug-Angriff wird zwar oft körperliches Material übertragen (wenn ein Vampir zum Beispiel das Blut seines Opfers trinkt), doch für das Wirken der Kraft ist im Grunde nur die emotionale Verbindung erforderlich. Einen Punkt Essenz zu entziehen, erfordert eine Ausgedehnte Probe auf Charisma + Magie (10 – Essenz des Opfers, 1 Minute). Wird der Critter vor Beendigung der Probe gestört oder unterbrochen, so wird keine Essenz entzogen. Verlorene Essenz wirkt sich auf das Magie- oder Resonanzattribut des Opfers aus, wie auf S. 276 beschrieben. Sinkt die Essenz des Opfers auf 0, so stirbt es. Ein Critter kann seine Essenz maximal auf das Doppelte seines natürlichen Maximums erhöhen. Jede Essenz, die darüber hinaus entzogen wird, geht verloren, da die astrale Gestalt des Critters sie nicht mehr aufnehmen kann. Der psychische Reiz des Entzugsprozesses wirkt sich auf das Opfer in Form von Qual oder Euphorie aus, je nach den Begleitumständen des Angriffs. Freiwillige Opfer werden mit großer Wahrscheinlichkeit eine Ekstase verspüren, die süchtig machen kann. Ein freiwilliges Opfer, dem Essenz entzogen wird, muss eine Abhängigkeitsprobe auf psychische Abhängigkeit (S. 416) mit einem Schwellenwert von 2 ablegen. Ein Critter, der Essenz entzieht, kann mit einer Einfachen Handlung die gestohlene Lebenskraft in andere Attribute pumpen, auch in sein Magieattribut. Jeder so verwendete Punkt Essenz kann ein Körperliches oder Geistiges Attribut oder die Magie vorübergehend um +1 steigern. Auf diese Weise können auch mehrere Essenzpunkte in ein und dasselbe Attribut gepumpt werden, aber immer nur ein Punkt pro Einfacher Handlung. Auch mehrere Attribute können gesteigert werden (zum Beispiel Stärke und Intuition parallel), aber auch hier immer nur ein Attribut pro Einfacher Handlung. Die maximale Steigerung, die ein Attribut auf diese Weise erfah ren kann, beträgt +4. Der Steigerungseffekt hält 12 Stunden lang an, und die eingesetzten Essenzpunkte sind anschließend verloren."
Feenglanz;M;Komplex;Speziell;A;CR S. 191;MAG+CHA vs. WIL+INT;;FEENGLANZ Art: M Handlung: Komplex Reichweite: Speziell Dauer: Aufrechterhalten Ein Critter mit dieser Kraft kann die Wahrnehmung anderer Wesen in seinem Einussbereich verändern, sodass sie die Umgebung so sehen, wie er es wünscht. Ein Opfer könnte so statt Sumpf festen Grund sehen, verrostete Metallpfeiler als blühende Bäume oder einen tiefen Abgrund als kleinen Fluss, über den eine stabile Steinbrücke führt. Die Kraft wirkt auf das Unterbewusstsein. Daher wird das Opfer alle Ungereimtheiten irgendwie in die Illusion einbauen. Dagegen helfen weder besondere Sichtfähigkeiten, Übertragungen von Drohnen, astrale Wahrnehmung noch gutgemeinte Warnungen von Freunden. Der Feenglanz wirkt auf alle Wesen innerhalb von [Magie x 50] Metern um den Critter. Der Critter legt eine Probe auf Charisma + Magie ab, deren Erfolge den Schwellenwert festlegen, den ein Wesen, das der Illusion begegnet, mit einer Probe auf Intuition + Willenskraft erreichen oder übertreffen muss, um der Wirkung des Feenglanzes nicht vollkommen zu erliegen.
Fokuskontrolle;P;Auto;Speziell;Speziell;CR S. 192;;;FOKUSKONTROLLE Art: P Handlung: Auto Reichweite: Speziell Dauer: Speziell Durch diese Kraft hat der Geist spezielle Macht über einen Fokus, der von ihm besessen ist. Er kann den Fokus ohne Zutun des eigentlichen Besitzers aktivieren oder dessen Macht manipulieren. Der Geist kann die Kraftstufe des Fokus um bis zu sein Magieattribut senken oder sie um bis zu der (aufgerundeten) Hälfte seines Magieattributs steigern. Die Senkung der Kraftstufe kann so lange andauern, wie der Geist will, solange der Fokus von ihm besessen ist. Die Erhöhung der Kraftstufe kann nur für [Kraftstufe des Geistes] Kampfrunden pro Tag benutzt werden.
Fressen;P;Komplex;B;A;SG S. 227;KS*2 vs. Objektwider.;;FRESSEN Art: P Handlung: Komplex Reichweite: Berührung Dauer: Aufrechterhalten Insektengeister verwenden diese Kraft, um Biomasse (z. B. Getreide, Holz oder Grünpflanzen) und unbelebte Objekte zu verzehren. Manche Fleisch- und Mischgestalten scheinen sich dadurch ernähren zu können, andere würgen das gefressene Material wieder hervor und bauen damit ihre Stöcke. Der Geist legt eine Vergleichende Probe auf Kraftstufe x 2 gegen den Objektwiderstand aller brauchbaren Materialien innerhalb von [Magie] Metern ab. Um Zeit zu sparen, kann der Spielleiter einmal für den Geist und je einmal für die Objektwiderstände unterschiedlicher Objekttypen würfeln. Wenn der Geist gegenüber einem bestimmten Objekt Nettoerfolge erzielt, wird dieses gefressen. Solange die Kraft aufrechterhalten wird, verlieren betroffene Barrieren pro Kampfrunde 1 Punkt Strukturstufe, Fahrzeuge erleiden pro Kampfrunde 1 Kästchen Schaden. Gegen lebende Critter und Charaktere wirkt diese Kraft nicht.
Geisteranker;M;Auto;Speziell;I;CR S. 192;;;"GEISTERANKER Art: M Handlung: Auto Reichweite: Speziell Dauer: Immer Ein Geisteranker ist eine Verbindung zwischen einem extraplanaren Wesen und einem physischen Gegenstand. Dabei kann es sich nicht um einen beliebigen Gegenstand handeln. Er muss eine emotionale Bedeutung für das Wesen haben, entweder, weil es glaubt, den Gegenstand in einem früheren Dasein benutzt zu haben, oder weil es sich eine emotionale Bedeutung einbildet oder aus irgendeinem anderen Grund. Wichtig ist, dass der Geisteranker nicht bewusst gewählt werden kann; die Auswahl erfolgt unterbewusst. Wenn ein Wesen einen Geisteranker hat, erhält es innerhalb von 10 Metern Entfernung um diesen Gegenstand einen Würfelpoolbonus von +2 für Widerstandsproben gegen Verbannen, zwischen 10 und 50 Metern einen Bonus von +1. Außerdem erleidet das Wesen grundsätzlich keine negativen Auswirkungen, wenn es seinem Heim fern ist (siehe Kraft Heim unten). Geisteranker funktionieren für Sensenmänner etwas anders. Ihre Geisteranker entstehen nicht unterbewusst. Stattdessen wird jedes ihrer Opfer zu einem Teil ihres Geisterankers. Sie erhalten zwar keinen Bonus für Widerstandsproben gegen Verbannen, können ihre Opfer aber als Wiedergänger (Harte Ziele, S. 124) beleben."
Geisterpakt;M;Speziell;Speziell;Speziell;SG S. 239;;;GEISTERPAKT (nur freie Geister) Art: M Handlung: Speziell Reichweite: Speziell Dauer: Speziell Ein Geist mit dieser Kraft kann Geisterpakte (S. 150) schließen. Der Spielleiter entscheidet, wie die Pakte genau aussehen. Detaillierte Regeln finden Sie beim Ritual Geisterpakt auf Seite 149.
Gestaltwandel;M;Komplex;S;Speziell;CR S. 192;;;"GESTALTWANDEL Art: M Handlung: Komplex Reichweite: Selbst Dauer: Speziell Ein Critter mit dieser Kraft kann die Gestalt eines bestimmten Tiers oder Metamenschen annehmen und sich wieder zurück in seine ursprüngliche Gestalt verwandeln. Die Attributswerte des Critters übertragen sich auf die neue Gestalt, genauso wie alle rein internen Deltaware-Implantate; Implantate, die keine Deltaware sind, werden während der Verwandlung automatisch abgestoßen und verursachen (Essenzkosten der Implantate x 10, abgerundet)K Schaden. Der Critter gewinnt den Essenzverlust durch auf diese Weise verlorene Implantate nicht zurück. Rein kosmetische Veränderungen wie Piercings und Tätowierungen gehen ebenfalls verloren, auch wenn dies dem Critter keinen Schaden zufügt. In seiner neuen Gestalt erhält der Critter Zugang zu allen nicht paranormalen Fähigkeiten der entsprechenden Rasse, einschließlich Panzer, Natürlichen Waffen und Gesteigerten Sinnen, sofern vorhanden. Der Critter behält in seiner neuen Gestalt alle seine ursprünglichen paranormalen Kräfte. Sobald er die Kraft Gestaltwandel einsetzt, bleibt er in seiner neuen Gestalt, bis er sich entscheidet, zurückzuwechseln. Der Critter erleidet nicht den üblichen Modikator von -2 für das Aufrechterhalten dieser Kraft. Diese Kraft wirkt nur auf die körperliche Gestalt des Critters, nicht auf seine Kleidung oder Ausrüstung; der Wandlungsvorgang zerstört die meisten Stoffe."
Gestaltwandel (Dracoform);M;Komplex;S;A;CR S. 192;;;GESTALTWANDEL (DRACOFORM) Art: M Handlung: Komplex Reichweite: Selbst Dauer: Aufrechterhalten Die Paradefähigkeit eines Drakes ist die Kraft, sich in eine drachische Hybridgestalt zu verwandeln. Bei Aktivierung der Kraft erhält der Charakter die Kräfte aus der Tabelle Dracoformen (S. 159) und eventuelle zusätzlich erworbene Kräfte. Der Charakter kann für [Magieattribut x 2] Kampfrunden in dieser Gestalt bleiben. Danach erleidet er in jeder Kampfrunde, in der er in der drachischen Gestalt bleibt, automatisch 2G Schaden, bis er wieder in seine metamenschliche Gestalt zurückkehrt.
Gesteigerte Sinne;P;Auto;S;I;SR5 S. 397;;;GESTEIGERTE SINNE Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Diese Kraft umfasst alle verbesserten oder geschärften Sinne, die über die normale menschliche Wahrnehmungsbandbreite hinausgehen. Dazu gehören Restlichtverstärkung und Infrarotsicht, verbessertes Hören und Riechen, wärmeempfindliche Organe, natürliches Sonar und so weiter. Der jeweilige gesteigerte Sinn wird in der Beschreibung des Critters angegeben. Wenn der gesteigerte Sinn nicht ohnehin schon einen speziellen Effekt hat (wie etwa Infrarotsicht), gewährt diese Kraft einen Würfelpoolmodifikator von +2 auf Proben, die den gesteigerten Sinn verwenden, sowie +1 auf das entsprechende Limit.
Gift;P;Auto;B;S;SR5 S. 397;KON+WIL+Schutz;;GIFT Art: P Handlung: Auto Reichweite: B Dauer: Sofort Der Critter sondert ein Toxin (SR5 S. 410) ab, das für andere gefährlich und schädlich ist. Die typischen Attribute eines solchen Giftes sind: Vektor: Injektion, Geschwindigkeit: 1 Kampfrunde, Durchdringung: 0, Kraft: Magie, Wirkung: Körperlicher Schaden. Einige Critter besitzen Gifte mit anderen Charakteristika, die dann in der Beschreibung des Critters angegeben werden.
Gift (Arkanhemmer);P;Auto;B;S;CR S. 193;;;GIFT (ARKANHEMMER) Art: P Handlung: Auto Reichweite: B Dauer: Sofort Diese Art von Gift senkt das Magieattribut eines Opfers vorübergehend um die Kraft des Giftes. Wenn die Kraft des Giftes größer ist als das Magieattribut des Opfers, kann es seine Magie erst wieder benutzen, wenn die Kraft des Gifts entsprechend gesenkt wurde. Mit der Senkung der Kraft des Gifts kehrt die Magie normal zurück.
Gifthauch;P;Komplex;Speziell;S;SR5 S. 397;KON+WIL+Atemschutz;;"GIFTHAUCH Art: P Handlung: Komplex Reichweite: Speziell Dauer: Sofort Viele Critter haben Mundgeruch – aber dieser hier ist tatsächlich giftig. Ein Critter mit dieser Kraft kann seine Opfer mit einem ekelerregenden Gestank außer Gefecht setzen. Die Anwendung der Kraft gilt als Fernkampfangriff mit Exotische Fernkampfwaffe + Geschicklichkeit [Körperlich] des Critters. Der Schaden ist ein Giftangriff mit Inhalationsvektor: Geschwindigkeit: Sofort Kraft: Magieattribut des Critters Wirkung: Geistiger Schaden, Übelkeit; siehe S. 410). Panzerung ist nutzlos, aber Atemschutz kann das Opfer schützen (s. Tabelle Schutz vor Toxinen und Drogen, S. 410). Der Atemstoß breitet sich kegelförmig bis in eine Entfernung von (Konstitution) Metern aus und kann bis zu zwei Opfer erwischen, die nicht weiter als 1 Meter voneinander entfernt sind."
Gleitflug;P;Speziell;S;Speziell;CR S. 193;;;GLEITFLUG Art: P Handlung: Speziell Reichweite: Selbst Dauer: Speziell Der Critter verfügt über Flughäute, halbfunktionale Flügel oder irgendein anderes körperliches Merkmal, mit dem er kurze Strecken im Gleitug zurücklegen kann. Tiere, die über die Fähigkeit Gleitug verfügen, erhalten gratis die Fertigkeit Freifall auf Stufe 1. Wenn der Critter die Fertigkeit Freifall zum Gleiten nutzt, wird als zugehöriges Attribut Geschicklichkeit statt Konstitution verwendet, da in diesem Fall eher präzise Muskelreexe als reine körperliche Anstrengungen gefragt sind. Ein Critter mit Gleitug-Fähigkeit kann Fallschaden aus beliebiger Höhe mit einer erfolgreichen Probe auf Freifall + Geschicklichkeit [Körperlich] (2) vermeiden. Während des Falls kann er sich entscheiden, das bis zu Zweifache der vertikalen Fallhöhe horizontal zurückzulegen. Pro Kampfrunde sinkt die Flughöhe eines gleitenden Critters um 10 Meter (ein Aufwärtsgleiten ist nicht möglich!), während er sich 20 Meter in horizontale Richtung bewegen kann.
Grauen;M;Komplex;BF;Speziell;SR5 S. 397;MAG+WIL vs. WIL+LOG;;GRAUEN Art: M Handlung: Komplex Reichweite: BF Dauer: Speziell Diese Kraft ermöglicht einem Critter, seine Opfer mit einem überwältigenden Entsetzen zu erfüllen. Das Opfer flieht voller Panik und bleibt nicht eher stehen, bis es in Sicherheit und außer Sicht des Critters ist. Der Critter legt eine Vergleichende Probe auf Willenskraft + Magie gegen Willenskraft + Logik des Opfers ab. Das Grauen hält 1 Kampfrunde pro Nettoerfolg des Critters an. Und auch wenn das Entsetzen verflogen ist, muss dem Opfer eine Probe auf Willenskraft + Logik (Nettoerfolge des Critters) gelingen, um genug Mut zu haben, dem Critter erneut gegenüberzutreten.
Hangeln;P;Auto;S;I;CR S. 193;;;HANGELN Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Der Critter kann sich sehr elegant durch die Luft bewegen. Dazu schwingt er sich von Haltegriff zu Haltegriff. Solange es genügend Griffe für seine Hände (oder Tentakel oder anderen Gliedmaßen) gibt, kann der Critter auf diese Weise gehen, laufen oder sprinten, wobei er den normalen Bewegungsregeln folgt. Wenn es nur wenige Griffe gibt, wird die Bewegungsrate des Critters halbiert.
Härtung;P;Komplex;B;Speziell;SG S. 228;;;HÄRTUNG Art: P Handlung: Komplex Reichweite: Berührung Dauer: Speziell Diese Kraft stärkt die Widerstandskraft natürlicher und bearbeiteter Materialien. Um ein Material zu härten, muss der Geist eine Ausgedehnte Probe auf Kraftstufe x 2 (Anzahl Quadratmeter, 1 Stunde) ablegen. Wenn die Probe gelingt, steigen Strukturstufe und Panzerungswert um die Kraftstufe des Geistes. Mehrfache Benutzung dieser Kraft wirkt nicht kumulativ, und es wird nur der stärkste Effekt berücksichtigt.
Häuten;P;Komplex;B;S;CR S. 194;waffenloser Angriff vs. KON+Panz.;;HÄUTEN Art: P Handlung: Komplex Reichweite: B Dauer: Sofort Diese extrem grausige Kraft reißt einem Opfer buchstäblich die Haut vom Leib. Der Critter führt einen normalen Waffenlosen Angriff durch, aber wenn dieser Angriff nach der Widerstandsprobe erfolgreich Körperlichen Schaden am Ziel verursacht, werden die dazugehörigen Schadenskästchen speziell markiert, um anzuzeigen, dass die Haut des Opfers aufgerissen ist. Jedes so markierte Kästchen verursacht bis zu seiner Heilung neben den normalen Verletzungsmodikatoren einen zusätzlichen Verletzungsmodikator von -1. Wenn mehr als die Hälfte des Körperlichen Zustandsmonitors des Opfers mit so markierten Kästchen gefüllt ist, hat ihm der Critter die Haut vollständig vom Leib gerissen. Für Rigger gibt es allerdings eine gute Nachricht: Diese Kraft wirkt nur gegen Opfer mit Haut.
Heim;M;Auto;Speziell;I;CR S. 194;;;HEIM Art: M Handlung: Auto Reichweite: Speziell Dauer: Immer Geister mit dieser Kraft haben eine besondere Verbindung zu einem bestimmten Gebiet. Wie beim Geisteranker (siehe oben) entsteht diese Verbindung nicht bewusst, sondern aus mysteriösen Vorgängen im Unterbewusstsein des Geistes. Ein Heim kann unterschiedlich groß sein, maximal jedoch [Kraftstufe x 1.000] Quadratmeter groß. Ein Gebäude, in dem der Geist lebt, kann durchaus größer sein, was bedeutet, dass es innerhalb des Gebäudes einen bevorzugten Aufenthaltsbereich gibt. Das Heim gilt als persönliche Domäne (Straßengrimoire, S. 239), die eine Hintergrundstrahlung erzeugt, die auf den Geist ausgerichtet ist. Wenn das Heim entsteht, beginnt es mit einer Hintergrundstrahlung von 1, die bis auf Kraftstufe ÷ 2 (aufgerundet) steigen kann. Das Ansteigen der Hintergrundstrahlung um 1 Punkt dauert mindestens einen Monat, kann aber nach Maßgabe des Spielleiters auch länger dauern. Neben der Hintergrundstrahlung erhält der Geist auch Macht über die physische Umgebung. Diese wirkt so, als hätte er den Zauber Massenbelebung (SR5, S. 288) gewirkt, ohne ihn aufrechterhalten zu müssen. Wenn der Geist nicht in seinem Heim ist, fühlt er sich desorientiert und erhält einen Würfelpoolmalus von -1 auf alle Proben.
Immunität;P;Auto;S;I;SR5 S. 398;;;"IMMUNITÄT Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Ein Critter mit der Kraft Immunität besitzt eine verstärkte Resistenz gegen bestimmte Arten von Angriffen oder sonstige Beeinträchtigungen. Ist der modifizierte Schadenscode des Angriffs nicht höher als die (durch die DK modifizierte) doppelte Essenz des Critters, dann verursacht der Angriff keinen Schaden. Ist der modifizierte Schadenscode höher als die (durch die DK modifizierte) doppelte Essenz des Critters, wird eine normale Schadenswiderstandsprobe fällig, wobei die doppelte Essenz des Critters zum Würfelpool dieser Probe hinzuaddiert wird. Zusätzlich zählt die Essenz des Critters als automatische Erfolge bei dieser Probe. Einige Immunitäten wirken etwas anders, da der „Angriff“, gegen den sie schützen, keinen Schaden im eigentlichen Sinne hervorruft. Immunität gegen Alter: Manche Wesen sind buchstäblich alterslos. Critter mit dieser Immunität altern nicht und erleiden auch keine Beeinträchtigungen durch Alterung. Immunität gegen normale Waffen: Gilt für alle Angriffe, die nicht magischer Natur sind; Waffenfoki, Zaubersprüche und Adepten- oder Critterkräfte funktionieren wie gehabt. Hat der Critter gleichzeitig die Schwäche Allergie, dann wirkt die Immunität auch nicht gegen nichtmagische Angriffe mittels des Allergens."
Infektion;P;Auto;B;P;SR5 S. 398;MAG+CHA vs. WIL+KON;;INFEKTION Art: P Handlung: Auto Reichweite: B Dauer: Permanent Diese Kraft ist der Vektor, durch den das Menschlich-Metamenschliche Vampirische Virus (MMVV) übertragen wird. Wenn ein Critter mit dieser Kraft die Kraft Essenzentzug einsetzt, um die Essenz eines Opfers auf 0 zu senken, so versucht die Kraft, die Infektion des Critters auf das Opfer zu übertragen. Um festzustellen, ob das Opfer infiziert wird, ist eine Vergleichende Probe auf Magie + Charisma des Critters gegen Konstitution + Willenskraft des Opfers erforderlich. Gewinnt der Critter, so ist das Opfer infiziert und fällt in einen komatösen Zustand, während das Virus das Opfer körperlich, geistig und seelisch verändert. 24 Stunden später erhebt sich das Opfer als neuer Infizierter Critter (entsprechend seiner ursprünglichen Metaspezies) mit einem einzigen Punkt Essenz und einem unstillbaren, bestialischen Hunger nach mehr. Der neue infizierte Critter muss sofort einem anderen Lebewesen Essenz entziehen. Spielercharaktere, die durch die Kraft Infektion transformiert werden, mutieren bei ihrem „Tod“ automatisch zu NSCs und werden fortan vom Spielleiter kontrolliert.
Kiemen;P;Auto;S;I;CR S. 194;;;KIEMEN Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Der Critter kann unter Wasser (je nach Lebensraum Salzoder Süßwasser, aber nicht beides) atmen, kann aber keine Luft atmen. Wenn er nicht unter Wasser ist, kann er noch etwa fünf Minuten weiter agieren, wonach er nichts mehr als nach Luft schnappen kann. Dann dauert es nicht mehr lange bis zum Tod, wenn er nicht wieder unter Wasser kommt.
Kraftübertragung;M;Komplex;B;A;SG S. 228;;;KRAFTÜBERTRAGUNG Art: M Handlung: Komplex Reichweite: Berührung Dauer: Aufrechterhalten Der Geist ermöglicht dem Ziel die Verwendung einer seiner Kräfte. Er kann die Kraft auch gleichzeitig mit dem Ziel einsetzen und kann eine Anzahl von Zielen gleich seinem Magieattribut mit dieser Kraft ausstatten. Kein Charakter kann mehr als eine Kraft gleichzeitig von einem Geist erhalten.
Lähmende Berührung;P;Komplex;B;Speziell;SR5 S. 398;MAG+GES vs. WIL+INT;;"LÄHMENDE BERÜHRUNG Art: P Handlung: Komplex Reichweite: B Dauer: Speziell Diese Kraft ist die Berührungsversion des Lähmenden Heulens. Der Critter muss das Opfer berühren. Wird das Opfer überrascht, ist die Berührung automatisch erfolgreich. Bemerkt das Opfer den Critter, wird die Berührung wie ein Nahkampfangriff behandelt, der keinen Schaden verursacht. Die Lähmung erfolgt dann durch eine Vergleichende Probe auf Magie + Geschicklichkeit des Critters gegen Intuition + Willenskraft des Opfers. Ansonsten funktioniert die Kraft genauso wie das Lähmende Heulen. ? Gewinnt der Critter, werden pro Nettoerfolg die Reaktion und die Geschicklichkeit des Opfers um jeweils 1 gesenkt; die verringerte Reaktion wirkt sich auch auf Initiative und Initiativeergebnis des Opfers aus. Dieser Effekt hält für (Magie + Nettoerfolge) Kampfrunden an. Falls Geschicklichkeit oder Reaktion auf 0 sinken, ist das Opfer für (Magie + Nettoerfolge) Minuten gelähmt und kann – außer zu atmen – keine Handlungen ausführen. Sobald die Auswirkungen der Lähmung enden, regenerieren sich Geschicklichkeit und Reaktion des Opfers pro Minute um jeweils 1 Punkt."
Lähmendes Heulen;P;Komplex;Speziell;Speziell;SR5 S. 398;MAG+CHA vs. WIL+INT;;"LÄHMENDES HEULEN Art: P Handlung: Komplex Reichweite: Speziell Dauer: Speziell Diese Kraft trifft jeden, der sie hört, egal ob Freund oder Feind, innerhalb eines Radius von (Magie x 15) Metern. Der Critter legt eine Vergleichende Probe auf Magie + Charisma gegen Intuition + Willenskraft des Opfers ab. Die Stufe eventueller flächenwirksamer Schallschutzgeräte oder persönlichen Schallschutzes (z.B. Cyberware) sowie Erfolge durch Zauber wie Schweigen oder Stille werden dabei zum Würfelpool des Opfers addiert. Gewinnt das Opfer, erleidet es keinerlei negative Auswirkungen. Gewinnt der Critter, werden pro Nettoerfolg die Reaktion und die Geschicklichkeit des Opfers um jeweils 1 gesenkt; die verringerte Reaktion wirkt sich auch auf Initiative und Initiativeergebnis des Opfers aus. Dieser Effekt hält für (Magie + Nettoerfolge) Kampfrunden an. Falls Geschicklichkeit oder Reaktion auf 0 sinken, ist das Opfer für (Magie + Nettoerfolge) Minuten gelähmt und kann – außer zu atmen – keine Handlungen ausführen. Sobald die Auswirkungen der Lähmung enden, regenerieren sich Geschicklichkeit und Reaktion des Opfers pro Minute um jeweils 1 Punkt."
Magie Manipulieren;M;Komplex;B;P;CR S. 195;;;MAGIE MANIPULIEREN Art: M Handlung: Komplex Reichweite: B Dauer: Permanent Der Critter kann Magie in ein Ritual oder ein alchemisches Erzeugnis transferieren oder daraus entfernen. Dazu muss er bei alchemischen Erzeugnissen eine Vergleichende Probe auf Alchemie + Magie [Astral] gegen Wirksamkeit x 2, bei Ritualwirkungen eine Vergleichende Probe auf Spruchzauberei + Magie [Astral] gegen Kraftstufe x 2 ablegen. Pro Nettoerfolg kann der Critter dann die Wirksamkeit oder Kraftstufe um 1 erhöhen oder senken. Wenn eine Ritualwirkung beendet ist oder ein alchemisches Erzeugnis seinen Zauber gewirkt hat, kann der Critter nichts mehr an der Wirksamkeit oder Kraftstufe ändern.
Magiegespür;M;Auto;S;I;CR S. 195;;;MAGIEGESPÜR Art: M Handlung: Auto Reichweite: Selbst Dauer: Immer Der Critter kann Magie so leicht finden, wie Schwierigkeiten Shadowrunner finden. Er ist sich jeder Magie, die eine Kraftstufe oder ein Magieattribut besitzt, innerhalb eines Umkreises von [Magie des Critters x 10] Metern bewusst. Diese Kraft ist nicht so präzise wie astrale Wahrnehmung und entdeckt nur das Vorhandensein von Magie, nicht aber ihre Art.
