Name;KATEGORIE;ART;REICHWEITE;SCHADEN;DAUER;ENTZUG;SEITE;Widerstand;Elementarschaden;Erläuterungen
Eissturm (Indirekt, Elementar, Flächenwirkung);Kampfzauber;P;BF (F);K;S;F + 1;SG S. 118;REA+INT?KON+Panz/DK-KS?Granate;Kälteschaden SR5: S.175;"EISSPEER (INDIREKT, ELEMENTAR) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 EISSTURM (INDIREKT, ELEMENTAR, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS + 1 Zauberer, die mit diesen Zaubern hantieren, können den Feind mit Eissplittern von furchtbarer Wirksamkeit attackieren, die Kälteschaden (SR5, S. 175) verursachen. Dies kann bestimmte Critter in besonderer Weise verletzen und Panzerung oder Ausrüstung beschädigen. Panzerung mit speziellen Modifikationen - wie z. B. Thermische Isolierung, Chemische Isolierung oder Chemische Versiegelung (SR5, S. 441) - kann gegen diesen Schaden schützen. Eisspeer wirkt gegen ein einzelnes Ziel, Eissturm ist ein Flächenzauber. Außerdem verursacht Eissturm im betroffenen Gebiet auch die Wirkung des Zaubers Eisdecke (S. 124). Der Schadenscode eines erfolgreich gewirkten Indirekten Kampfzaubers entspricht der Kraftstufe + Nettoerfolge. Indirekte Kampfzauber mit Flächenwirkung bewegen sich vom Magier zum Explosionspunkt hin und „explodieren“ dort. Die Probe wird ähnlich wie beim Angriff mit Granaten (S. 182) abgelegt: Man würfelt mit Spruchzauberei + Magie [Kraftstufe] (3) mit einer Abweichung von 2W6 Metern. Im Gegensatz zu Granaten erhöhen Nettoerfolge (über dem Schwellenwert von 3) den Schadenscode des Zaubers; wird der Schwellenwert nicht erreicht, geht der Zauber immer noch los, aber die Erfolge reduzieren die Abweichung um 1 Meter pro Erfolg. KÄLTESCHADEN Kälte ist eigentlich nur die Abwesenheit von Wärme, aber es tut weh, wenn zu viel Wärme fehlt, und es tut nicht weniger weh, nur weil man „abwesende Wärme“ sagt. Kälte verursacht Körperlichen Schaden. Außerdem kann Kälteschaden Panzerung brüchig machen, Flüssigkeiten gefrieren lassen, Schmiermittel verklumpen lassen und so weiter. Würfeln Sie mit dem Panzerungswert für jegliche Panzerung, die direkt getroffen wird. Wenn Sie dabei keine Erfolge erzielen, zerbricht die Panzerung und wird unbrauchbar, kann aber gemäß der Regeln zum Bauen und Reparieren (S. 146) repariert werden. Bei einem Patzer ist die Panzerung irreparabel zerstört. Bei einem Kritischen Patzer zersplittert die Panzerung irreparabel auf gefährliche Weise. | KÄLTESCHADEN Kälte ist eigentlich nur die Abwesenheit von Wärme, aber es tut weh, wenn zu viel Wärme fehlt, und es tut nicht weniger weh, nur weil man „abwesende Wärme“ sagt. Kälte verursacht Körperlichen Schaden. Außerdem kann Kälteschaden Panzerung brüchig machen, Flüssigkeiten gefrieren lassen, Schmiermittel verklumpen lassen und so weiter. Würfeln Sie mit dem Panzerungswert für jegliche Panzerung, die direkt getroffen wird. Wenn Sie dabei keine Erfolge erzielen, zerbricht die Panzerung und wird unbrauchbar, kann aber gemäß der Regeln zum Bauen und Reparieren (S. 146) repariert werden. Bei einem Patzer ist die Panzerung irreparabel zerstört. Bei einem Kritischen Patzer zersplittert die Panzerung irreparabel auf gefährliche Weise."
Embolie (Blut, Direkt);Kampfzauber;P;BF;K;S;F - 2;VK S. 123;WIL+Antimagie;;EMBOLIE (BLUT, DIREKT) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 2 Dieser Zauber unterbricht den Blutfluss und verursacht nicht nur Schaden wie jeder gewöhnliche direkte Kampfzauber, sondern zusätzlich auch noch entsetzliche Schmerzen und Nebenwirkungen im betroffenen Körperteil. Würfeln Sie mit 1W6 und sehen Sie in der Tabelle auf der nächsten Seite (S. 124) nach, wo sich die Embolie ereignet.
Energieball (Direkt, Flächenwirkung);Kampfzauber;P;BF (F);K;S;F;SG S. 119;KON+Antimagie;;ENERGIESCHLAG (DIREKT, BERÜHRUNG) Art: P Reichweite: B Schaden: K Dauer: S Entzug: KS - 6 ENERGIEBLITZ (DIREKT) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 ENERGIEBALL (DIREKT, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS Diese Zauber kanalisieren destruktive magische Energie in ihre Ziele und verursachen Körperlichen Schaden. Das Ziel wird von innen heraus gekocht wie ein Würstchen in der Mikrowelle. Weil es sich um physische Energie handelt, wirkt der Zauber sowohl gegen lebende als auch unbelebte Ziele. Die Widerstandsprobe wird mit Konstitution abgelegt. Energieschlag erfordert die Berührung des Ziels. Energieblitz trifft ein einzelnes Ziel. Energieball ist ein Flächenzauber.
Energieblitz (Direkt);Kampfzauber;P;BF;K;S;F - 3;SG S. 119;KON+Antimagie;;ENERGIESCHLAG (DIREKT, BERÜHRUNG) Art: P Reichweite: B Schaden: K Dauer: S Entzug: KS - 6 ENERGIEBLITZ (DIREKT) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 ENERGIEBALL (DIREKT, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS Diese Zauber kanalisieren destruktive magische Energie in ihre Ziele und verursachen Körperlichen Schaden. Das Ziel wird von innen heraus gekocht wie ein Würstchen in der Mikrowelle. Weil es sich um physische Energie handelt, wirkt der Zauber sowohl gegen lebende als auch unbelebte Ziele. Die Widerstandsprobe wird mit Konstitution abgelegt. Energieschlag erfordert die Berührung des Ziels. Energieblitz trifft ein einzelnes Ziel. Energieball ist ein Flächenzauber.
Energieschlag (Direkt, Berührung);Kampfzauber;P;B;K;S;F - 6;SG S. 119;KON+Antimagie;;ENERGIESCHLAG (DIREKT, BERÜHRUNG) Art: P Reichweite: B Schaden: K Dauer: S Entzug: KS - 6 ENERGIEBLITZ (DIREKT) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 ENERGIEBALL (DIREKT, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS Diese Zauber kanalisieren destruktive magische Energie in ihre Ziele und verursachen Körperlichen Schaden. Das Ziel wird von innen heraus gekocht wie ein Würstchen in der Mikrowelle. Weil es sich um physische Energie handelt, wirkt der Zauber sowohl gegen lebende als auch unbelebte Ziele. Die Widerstandsprobe wird mit Konstitution abgelegt. Energieschlag erfordert die Berührung des Ziels. Energieblitz trifft ein einzelnes Ziel. Energieball ist ein Flächenzauber.
Entgiftung;Heilzauber;M;B;;P;F - 6;SG S. 110;;;ENTGIFTUNG Art: M Reichweite: B Dauer: P Entzug: KS - 6 Entgiftung senkt die Nebenwirkungen von Giften und Drogen. Die Kraftstufe des Zaubers muss mindestens so hoch wie der Grundschadenscode des Toxins sein. Ein einziger Erfolg genügt, um alle Symptome zu beseitigen. Entgiftung heilt oder verhindert keinen Schaden durch Toxine, beseitigt aber jegliche Nebenwirkungen (wie Schwindel, Halluzinationen, Übelkeit, Schmerzen usw.). Entgiftung ist bei den Leuten, die es sich leisten können, das Katerbekämpfungsmittel der Wahl.
Entzünden (Transformation);Manipulationszauber;P;BF;;P;F - 1;SG S. 125;KON+REA/ Objektwiderst. SR5: S. 290;Feuerschaden SR5: S. 174;ENTZÜNDEN (TRANSFORMATION) Art: P Reichweite: BF Dauer: P Entzug: KS - 1 Dieser Zauber regt die Molekularbewegung im Ziel an, wodurch es Feuer fängt, sobald die Wirkung permanent ist. Unbelebte Ziele widerstehen dem Zauber mit ihrem Objektwiderstand. Sobald das Ziel Feuer gefangen hat, brennt es weiter, bis es verbrannt ist oder gelöscht wird. Gegen lebende Ziele wird der Zauber mit einer Vergleichenden Probe auf Spruchzauberei + Magie [Kraftstufe] gegen Konstitution + Reaktion abgewickelt. Wenn der Zauber gelingt, wird das Ziel von Hitze und Flammen eingehüllt und beginnt zu brennen, sobald die Wirkung permanent ist (siehe Feuerschaden, SR5, S. 174). FEUERSCHADEN Feuer verursacht Körperlichen Schaden und kann Dinge entzünden. Um zu bestimmen, ob etwas zu brennen beginnt, würfeln Sie mit Panzerungswert + Feuerresistenz - Feuer-DK (s. Tabelle Durchschlagskraft von Feuer, S. 175). Der Schwellenwert dieser Probe ergibt sich durch die Anzahl der Nettoerfolge des Feuerangriffs. Wenn der Gegenstand gewinnt, brennt er (vorerst) nicht. Zusatzpanzerung ist von dieser Probe ausgenommen, aber der Spielleiter kann, wenn es ihm passend erscheint, auch dafür eine Probe verlangen. Wenn etwas zu brennen beginnt, hat das Feuer zu Anfang einen Schadenscode von 3K. Dieser Schaden wird am Ende jeder Kampfrunde verursacht, und der Schadenscode steigt zu Beginn jeder folgenden Kampfrunde um 1, bis der Gegenstand zerstört ist oder das Feuer gelöscht wird. Man kann Feuer auf verschiedene Arten bekämpfen (Wasser, Ersticken usw.), was durch eine Probe auf Geschicklichkeit + Intuition erfolgt. Jeder Erfolg bei dieser Probe senkt den Schadenscode des Feuers um 1. Solange aber das Feuer noch brennt, kann es Entflammbares in der Umgebung (wie Möbel, Fahrzeuge oder Pflanzen) entzünden. Außerdem zerstört das Feuer langsam die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis es gelöscht ist. | FEUERSCHADEN Feuer verursacht Körperlichen Schaden und kann Dinge entzünden. Um zu bestimmen, ob etwas zu brennen beginnt, würfeln Sie mit Panzerungswert + Feuerresistenz - Feuer-DK (s. Tabelle Durchschlagskraft von Feuer, S. 175). Der Schwellenwert dieser Probe ergibt sich durch die Anzahl der Nettoerfolge des Feuerangriffs. Wenn der Gegenstand gewinnt, brennt er (vorerst) nicht. Zusatzpanzerung ist von dieser Probe ausgenommen, aber der Spielleiter kann, wenn es ihm passend erscheint, auch dafür eine Probe verlangen. Wenn etwas zu brennen beginnt, hat das Feuer zu Anfang einen Schadenscode von 3K. Dieser Schaden wird am Ende jeder Kampfrunde verursacht, und der Schadenscode steigt zu Beginn jeder folgenden Kampfrunde um 1, bis der Gegenstand zerstört ist oder das Feuer gelöscht wird. Man kann Feuer auf verschiedene Arten bekämpfen (Wasser, Ersticken usw.), was durch eine Probe auf Geschicklichkeit + Intuition erfolgt. Jeder Erfolg bei dieser Probe senkt den Schadenscode des Feuers um 1. Solange aber das Feuer noch brennt, kann es Entflammbares in der Umgebung (wie Möbel, Fahrzeuge oder Pflanzen) entzünden. Außerdem zerstört das Feuer langsam die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis es gelöscht ist.
Ernährung;Heilzauber;P;B;;P;F - 3;SG S. 110;;;"ERNÄHRUNG Art: P Reichweite: B Dauer: P Entzug: KS - 3 (freiwilliges Ziel) / KS (bewusstloses oder unfreiwilliges Ziel) Dieser Zauber versorgt ein Ziel mit Nahrung, indem er es mit reinem Mana ernährt. Ein Erfolg reicht aus, um das Subjekt für mehrere Stunden zu sättigen, wobei zusätzliche Erfolge die Qualität der „Nahrung“ verbessern. Dieser Zauber verhindert Verhungern oder Verdursten, hat jedoch auch seine Nachteile. Wer den Zauber über längere Zeit anwendet, riskiert, von magischer Ernährung abhängig zu werden (behandeln Sie die magische Nahrung, als hätte sie einen Abhängigkeitswert von 2 und einen Abhängigkeits-Schwellenwert von 1; s. Drogenmissbrauch und Abhängigkeit, SR5, S. 416). Ernährung funktioniert bei freiwilligen Zielen am besten, kann jedoch auch auf bewusstlose oder unfreiwillige Ziele gewirkt werden."
Erweiterter Umgebungssinn (passiv, ungerichtet, erweitert);Wahrnehmungszauber;P;F*MAG*10;;A;F - 1;SG S. 138;;;UMGEBUNGSSINN (PASSIV, UNGERICHTET) Art: P Reichweite: B Dauer: A Entzug: KS - 3 ERWEITERTER UMGEBUNGSSINN (PASSIV, UNGERICHTET, ERWEITERT) Art: P Reichweite: B Dauer: A Entzug: KS - 1 Umgebungssinn verschafft dem Ziel einen automatischen Überblick über Landschaft, Geographie und Architektur seiner Umgebung. Dieses Wissen bleibt bestehen, solange der Zauber aufrechterhalten wird, bleibt aber nach dem Ende des Zaubers nicht erhalten -das Ziel kann allerdings während der Wirkungsdauer Karten oder Notizen anlegen. Die Erfolge bei der Spruchzaubereiprobe geben gemäß der Tabelle Ergebnis von Wahrnehmungszaubern (SR5, S. 292) an, wie detailliert der Überblick ist - von einem allgemeinen Wissen, was sich wo be ndet, über eine ungefähre Karte bis hin zur Kenntnis über alle Ausgänge und deren Sicherheit. Der Zauber wirkt in alle Richtungen (dreidimensional) und kann auch versteckte Gebäudeteile wie Geheimräume, Lüftungsschächte und Tunnel aufdecken. Sicherheitseinrichtungen oder Lebewesen werden von dem Zauber nicht entdeckt. Bereiche, die durch Manabarrieren geschützt sind, werden zu „weißen Flecken“ auf der imaginären Karte.
Erweitertes [Lebensform] Entdecken (aktiv, ungerichtet, erweitert);Wahrnehmungszauber;M;F*MAG*10;;A;F;SG S. 137;WIL+LOG+(Antimagie)/ KS*2/Objektw.;;"[LEBENSFORM] ENTDECKEN (AKTIV, UNGERICHTET) Art: M Reichweite: B Dauer: A Entzug: KS - 2 ERWEITERTES [LEBENSFORM] ENTDECKEN (AKTIV, UNGERICHTET, ERWEITERT) Art: M Reichweite: B Dauer: A Entzug: KS Das Ziel entdeckt alle Angehörigen einer bestimmten Lebensform innerhalb der Sinnesreichweite und erfährt ihre Anzahl und ihre Aufenthaltsorte relativ zur eigenen Position. Es handelt sich hier eigentlich um viele verschiedene Zauber, die für jede Lebensform (Orks, Elfen, Drachen usw.) separat erlernt werden müssen. Geister sind auch hier keine erlaubten Lebensformen; sie werden mit dem Zauber Magie Entdecken entdeckt."
Erweitertes Feinde Entdecken (aktiv, ungerichtet, erweitert);Wahrnehmungszauber;M;F*MAG*10;;A;F;SG S. 135;WIL+LOG+(Antimagie)/ KS*2/Objektw.;;FEINDE ENTDECKEN (AKTIV, UNGERICHTET) Art: M Reichweite: B Dauer: A Entzug: KS - 2 ERWEITERTES FEINDE ENTDECKEN (AKTIV, UNGERICHTET, ERWEITERT) Art: M Reichweite: B Dauer: A Entzug: KS Das Ziel kann lebende Wesen innerhalb der Sinnesreichweite entdecken, die ihm gegenüber feindlich gesinnt sind. Der Zauber kann keine Fallen entdecken (weil diese nicht lebendig sind) und auch niemanden, der einfach blindwütig in die Menge schießen will (weil die Feindschaft nicht direkt gegen das Ziel des Zaubers gerichtet ist). Der Zauber kann aber Feinde entdecken, die einen Hinterhalt oder Überraschungsangriff gegen das Ziel planen.
Erweitertes Leben Entdecken (aktiv, ungerichtet, erweitert);Wahrnehmungszauber;M;F*MAG*10;;A;F - 1;SG S. 136;WIL+LOG+(Antimagie)/ KS*2/Objektw.;;LEBEN ENTDECKEN (AKTIV, UNGERICHTET) Art: M Reichweite: B Dauer: A Entzug: KS - 3 ERWEITERTES LEBEN ENTDECKEN (AKTIV, UNGERICHTET, ERWEITERT) Art: M Reichweite: B Dauer: A Entzug: KS - 1 Das Ziel entdeckt alle Lebewesen (aber keine Geister) innerhalb der Sinnesreichweite und erfährt ihre Anzahl und ihre Aufenthaltsorte relativ zur eigenen Position. In einem dicht bevölkerten Gebiet ist dieser Zauber praktisch nutzlos, weil er nur eine verschwommene Masse von Lebensspuren anzeigt.
Erweitertes Magie Entdecken (aktiv, ungerichtet, erweitert);Wahrnehmungszauber;M;F*MAG*10;;A;F;SG S. 137;WIL+LOG+(Antimagie)/ KS*2/Objektw.;;MAGIE ENTDECKEN (AKTIV, UNGERICHTET) Art: M Reichweite: B Dauer: A Entzug: KS - 2 ERWEITERTES MAGIE ENTDECKEN (AKTIV, UNGERICHTET, ERWEITERT) Art: M Reichweite: B Dauer: A Entzug: KS Das Ziel entdeckt die Präsenz aller Foki, Zauber, Hüter, Magischer Refugien, Alchemischer Erzeugnisse, Rituale und Geister innerhalb der Sinnesreichweite. Es kann keine Erwachten Charaktere oder Critter, astralen Signaturen, abgelaufenen oder bereits ausgelösten Alchemischen Erzeugnisse oder Wirkungen permanenter Zauber, die bereits permanent sind, entdecken.
Erweitertes Telepathisches Netz (aktiv, übersinnlich, erweitert);Wahrnehmungszauber;M;F*MAG*10;;A;F + 1;SG S. 138;WIL+LOG+(Antimagie)/ KS*2/Objektw.;;TELEPATHISCHES NETZ (AKTIV, ÜBERSINNLICH) Art: M Reichweite: B Dauer: A Entzug: KS ERWEITERTES TELEPATHISCHES NETZ (AKTIV, ÜBERSINNLICH, ERWEITERT) Art: M Reichweite: B Dauer: A Entzug: KS + 1 Telepathisches Netz ist eine Variante des Zaubers Telepathie (S. 138), die einer Gruppe freiwilliger Ziele die telepathische Kommunikation erlaubt. Jeder in der Gruppe kann Worte, geistige Bilder oder Emotionen übertragen, solange er innerhalb der Reichweite des Ziels des Zaubers (der Person, die beim Wirken des Zaubers berührt wurde) bleibt. Die Anzahl der Gruppenmitglieder (außer dem Ziel) gibt den Schwellenwert für die Spruchzaubereiprobe an. Wenn einer der Teilnehmer die Reichweite verlässt, muss der Zauber für ihn erneut gewirkt werden, wenn er wieder die Vorteile des Telepathischen Netzes nutzen will. Die anderen Teilnehmer können weiter kommunizieren, solange der Zauber aufrechterhalten wird und sie in Reichweite bleiben.
Erzwungene Verteidigung (Essenz);Heilzauber;M;B;;S;F - 1;SG S. 110;KON+Antimagie;;ERZWUNGENE VERTEIDIGUNG (ESSENZ) Art: M Reichweite: B Dauer: S Entzug: KS - 1 Ein trainierter Runner hat seine Überlebensinstinkte im Griff, um kalkulierte Risiken eingehen zu können. Erzwungene Verteidigung löst die archaischen Reflexe aus, um jeden Preis überleben zu wollen. Das Ziel widersteht diesem Zauber mit Konstitution (+ Antimagie, falls anwendbar). Gelingt die Spruchzaubereiprobe, muss das Ziel sofort die Unterbrechungshandlung Volle Abwehr (SR5, S. 170) durchführen und sie für eine Anzahl von Kampfrunden gleich den Nettoerfolgen bei der Spruchzaubereiprobe beibehalten. Dieser Zauber zwingt das Ziel nicht, weiter am Kampf teilzunehmen oder im Kampfgebiet zu bleiben
Euphorie (Realistisch, Monosensorisch);Illusionszauber;M;BF;;A;F - 3;SG S. 113;LOG+WIL;;EUPHORIE (REALISTISCH, MONOSENSORISCH) Art: M Reichweite: BF Dauer: A Entzug: KS - 3 Mit diesem Zauber kann der Zauberer seine Feinde auf unübliche, nicht tödliche Weise ablenken, indem er ihnen große Lust aufzwingt. Euphorie umfängt das Ziel und simuliert einen gewaltigen Kick, der mit einer bewusstseinsverändernden Droge oder einem Orgasmus vergleichbar ist. Viele Zauberer verwenden diesen Zauber im Privatleben und versetzen freiwillige Ziele in Ekstase. Diesen Zauber gegen unfreiwillige Opfer zu benutzen, gilt in vielen Gegenden als Verbrechen. Zauberer, die diesen Zauber exzessiv wirken, laufen Gefahr, sich einen unappetitlichen Ruf zu erwerben. Jeder Nettoerfolg bei der Spruchzaubereiprobe führt zu einem Würfelpoolmodifikator von -1 auf alle Handlungen des Ziels, weil es abgelenkt ist. Nach Maßgabe des Spielleiters kann ein Charakter, dessen Würfelpoolmalus seine Willenskraft übersteigt, vollständig handlungsunfähig werden. Euphorie wirkt gegen ein einzelnes Ziel, Opiumhöhle ist ein Flächenzauber.
Fahrzeug Schützen (Transformation);Manipulationszauber;P;B;;A;F - 1;SG S. 125;Objektwiderst. SR5: S. 290;;FAHRZEUG SCHÜTZEN (TRANSFORMATION) Art: P Reichweite: B Dauer: A Entzug: KS - 1 Ein gerissener Zauberer weiß, wie er ein Fluchtfahrzeug vor feindlicher Magie schützen kann. Dieser Zauber verleiht einem Fahrzeug eine schützende Barriere. Der Zauberer muss eine erfolgreiche Spruchzaubereiprobe gegen die Objektwiderstandsprobe des Fahrzeugs ablegen, um die mystische Verbindung zwischen sich und dem Fahrzeug zu schaffen. Jeder Nettoerfolg bei der Spruchzaubereiprobe addiert 1 Erfolg zur Objektwiderstandsprobe des Fahrzeugs. Außerdem kann der Zauberer seine Zauberabwehr auf das Fahrzeug und seine Insassen ausdehnen, solange der Zauber aufrechterhalten wird.
Fahrzeug Verlangsamen (Transformation);Manipulationszauber;P;BF;;A;F + 1;SG S. 125;Objektwiderst. SR5: S. 290;;FAHRZEUG VERLANGSAMEN (TRANSFORMATION) Art: P Reichweite: BF Dauer: A Entzug: KS + 1 Diesen gefährlichen Zauber nutzen einige Zauberer meistens als letzten Ausweg, wenn ein Feind zu entkommen droht und es keine andere Möglichkeit gibt, ihn aufzuhalten. Der Zauberer muss eine erfolgreiche Spruchzaubereiprobe gegen die Objektwiderstandsprobe des Fahrzeugs ablegen, um die überschüssige kinetische Energie, die durch die Verlangsamung freigesetzt wird, körperlich zu absorbieren. Dies erzeugt einen heftigen Entzug, aber für jeden Nettoerfolg bei der Spruchzaubereiprobe kann der Zauberer das Geschwindigkeitsattribut des Fahrzeugs um 1 senken. Dieser Zauber kann bei einer Verfolgungsjagd gute Dienste leisten. Wenn der Fahrer mit der Auswirkung dieses Zaubers nicht vertraut ist, kann der Spielleiter einen Stunt (SR5, S. 203) zur Stabilisierung des Fahrzeugs verlangen.
Fahrzeugmaske (Realistisch, Vollsensorisch);Illusionszauber;P;B;;A;F - 3;SG S. 114;LOG+INT;;FAHRZEUGMASKE (REALISTISCH, VOLLSENSORISCH) Art: P Reichweite: B Dauer: A Entzug: KS - 3 Diese Variante des Zaubers Physische Maske (S. 115) dient speziell zur Maskierung von Fahrzeugen und Drohnen. Indem der Zauberer das Fahrzeug berührt, erschafft er eine Illusion, die es als ein anderes Fahrzeug von ungefähr ähnlicher Größe tarnt. Der Zauber kann auch Geräusche, Geruch und andere Charakteristika des Fahrzeugs verändern. Fahrzeugmaske kann auch die Signatur eines Fahrzeugs (SR5, S. 186) ändern. Jeder Nettoerfolg bei der Spruchzaubereiprobe kann verwendet werden, um den Signaturmodifikator des Fahrzeugs um 1 zu senken oder zu erhöhen. Der Zaubernde muss das Fahrzeug maskierte aktiv berühren, um den Zauber aufrechtzuerhalten.
Fahrzeugsignatur Austauschen (Realistisch, Vollsensorisch);Illusionszauber;P;B;;speziell;F + 1;SG S. 114;LOG+INT;;FAHRZEUGSIGNATUR AUSTAUSCHEN (REALISTISCH, VOLLSENSORISCH) Art: P Reichweite: B Dauer: speziell Entzug: KS + 1 Dieser Zauber ist eine Variante des Zaubers Physische Maske (S. 115), mit dessen Hilfe ein Fahrzeug oder eine Drohne die einzigartige elektronische Signatur eines anderen Fahrzeugs von etwa gleicher Größe übernehmen kann. Elektronische Sensoren (wie z. B. diejenigen anderer Fahrzeuge und Drohnen) interpretieren die Signatur eines der betroffenen Fahrzeuge dann als die des jeweils anderen. Dieser Zauber erzeugt keine zusätzlichen Codes, die man eventuell für den Zugang zu stärker gesicherten Gebieten braucht, kann aber ein Fahrzeug durch eine ober ächliche Überprüfung schleusen. Diese Täuschung wirkt nur, solange sich die beiden Fahrzeuge nicht weiter als 5 Kilometer voneinander entfernen. Sobald diese Entfernung überschritten wird, kehrt die alte Signatur wieder zurück. Dieser plötzliche Wandel wird bei den meisten Sicherheitssystemen, die nach Anomalien Ausschau halten, einen Alarm auslösen. Außerdem endet die Wirkung auch, sobald eines der Fahrzeuge zerstört wird. Die Wirkungsdauer des Zaubers beträgt [Nettoerfolge bei der Spruchzaubereiprobe x 10] + 10 Minuten.
Falsche Erinnerung (Mental);Manipulationszauber;M;BF;;P;F+1;SSP S. 20;;;
Falscher Eindruck ();Illusionszauber;M;BF;;A;F-4;SSP S. 20;;;
Fasten (Essenz);Heilzauber;M;B;;A;F - 3;SG S. 110;;;FASTEN (ESSENZ) Art: M Reichweite: B Dauer: A Entzug: KS - 3 Solange dieser Zauber aufrechterhalten wird, hat das freiwillige Ziel die Fähigkeit, jegliches Hunger- oder Durstgefühl zu verdrängen. Jeder Erfolg bei der Spruchzaubereiprobe erlaubt dem Ziel, die Symptome einer versäumten Mahlzeit zu ignorieren. Die biologische Notwendigkeit für Essen und Trinken verschwindet aber nicht. Sobald der Zauber endet, erleidet das Ziel alle Auswirkungen von Auszehrung und Austrocknung. Die Reichen und Schönen nutzen Fasten gerne als einfachen „Diätzauber“. Ziele, die länger als 72 Stunden unter der Wirkung dieses Zaubers stehen, riskieren bleibende Schäden. Der Spielleiter sollte Erschöpfungsschaden (SR5, S. 174) und Desorientierung (SR5, S. 410) anwenden, wenn es jemand mit dem Fasten übertreibt.
Feinde Entdecken (aktiv, ungerichtet);Wahrnehmungszauber;M;F*MAG;;A;F - 2;SG S. 135;WIL+LOG+(Antimagie)/ KS*2/Objektw.;;FEINDE ENTDECKEN (AKTIV, UNGERICHTET) Art: M Reichweite: B Dauer: A Entzug: KS - 2 ERWEITERTES FEINDE ENTDECKEN (AKTIV, UNGERICHTET, ERWEITERT) Art: M Reichweite: B Dauer: A Entzug: KS Das Ziel kann lebende Wesen innerhalb der Sinnesreichweite entdecken, die ihm gegenüber feindlich gesinnt sind. Der Zauber kann keine Fallen entdecken (weil diese nicht lebendig sind) und auch niemanden, der einfach blindwütig in die Menge schießen will (weil die Feindschaft nicht direkt gegen das Ziel des Zaubers gerichtet ist). Der Zauber kann aber Feinde entdecken, die einen Hinterhalt oder Überraschungsangriff gegen das Ziel planen.
